feature_1,feature_2,label
-1.4221836154193306,-2.6420885121617363,0
-2.1245901341513833,-0.9956841905074252,0
-1.3296053528407161,-3.8741039089242113,0
-2.150215085511032,-3.1353780026552993,0
-3.0923217476679485,-2.632749535282488,0
-2.8711635132649795,-1.6992582322215097,0
-2.319307165251809,-2.891170556783451,0
-2.602996655547367,-2.701552608657848,0
-1.6636550514638846,-3.183499129570465,0
-2.719983735019585,-3.7639264529486383,0
-5.283463509627868,-2.4153857556949676,0
-2.226824758855448,-3.663812574460529,0
-0.969869747407694,-4.3008242050180705,0
-2.9590723379057464,-3.167422325179156,0
-1.629040592878307,-1.6857655628669963,0
-2.861410809281239,-2.6617611598507773,0
-3.7940597124625617,-4.7716782210160815,0
-3.311182086436534,-2.8601572307485945,0
-1.8995945623233301,-1.9245587693368553,0
-3.346435637293132,-3.2703878000286455,0
-3.9378542831595924,-4.2701026547204854,0
-4.526134453687621,-1.2551734429710797,0
-3.45584676931111,-3.3918255670393433,0
-4.120534234787184,-2.3045914850037397,0
-4.443514118352069,-3.190280691244315,0
-3.8009296409628135,-2.6539438856488893,0
-3.456878004344053,-4.055989528048705,0
-3.025206951329061,-2.616888328225739,0
-2.9405051876307065,-2.7294609101481937,0
-3.56735492844025,-3.32444556215391,0
-3.6014669093627893,-3.3215941242918454,0
-3.7273001449210463,-4.544034098875547,0
-2.8413052339740243,-3.359363794170072,0
-4.458093728249546,-2.5860749671454766,0
-3.811512327454121,-2.9535386255526808,0
-2.347881576486996,-2.8846341774442563,0
-1.9808890463005544,-4.104461789873084,0
-2.6401346960592686,-3.612512766008141,0
-3.778864648073485,-3.5177388796664792,0
-3.278661056159597,-2.9497641907178997,0
-4.042141699185857,-2.194276295695244,0
-2.5834988520777173,-4.374058125008293,0
-1.6688667708039393,-1.3042651698358205,0
-1.9456674993595882,-3.160929665486762,0
-3.9577102595134708,-2.056869703835973,0
-3.360612424157143,-1.906611889546151,0
-2.8137131964031448,-2.126467489977008,0
-2.6812562044085393,-2.3680217459381647,0
-2.9906084959612356,-1.4026688706461714,0
-2.88648637341918,-2.6404497828423112,0
-1.3156588118024408,-4.205472351202323,0
-4.136356328403127,-2.132945225357665,0
-4.049273471932514,-1.2615723625517772,0
-3.369952063105189,-3.668543907396329,0
-1.2800683647994633,-1.6757873138634813,0
-1.3296044849989401,-2.1896090213782684,0
-3.7703036703004558,-1.2915859693722453,0
-3.2397095022585516,-2.2822611800079136,0
-2.152752083294984,-3.1386452421398703,0
-2.4507507137303586,-2.1751532772293696,0
-2.663314769547819,-3.9833339609053082,0
-2.7332476675959336,-1.813644388244315,0
-3.6212403797383486,-3.133837201581842,0
-3.389213168920021,-1.3459682379181912,0
-2.3986812889613964,-2.6355550543711956,0
-3.6886338717718066,-2.5176808605838836,0
-3.6031414674712763,-2.971529883174713,0
-3.568718021792735,-2.3949796681021844,0
-2.4842814955387507,-3.186308070840404,0
-2.6458008283769336,-3.977663934843956,0
-4.333821339700972,-2.606996114889286,0
-2.8509226937198116,-2.4320106157039527,0
-0.8684505132723173,-2.1552318654941227,0
-3.816453018986311,-2.0009102591372736,0
-4.176983368799792,-3.4128538214932265,0
-3.061037147359835,-1.4675396822550064,0
-3.666128963468428,-3.7391891006668576,0
-3.08805861486869,-3.5934330199602975,0
-1.992306196910677,-3.9659201054977986,0
-4.026327163536521,-3.391598152784222,0
-3.445453765899522,-1.274174065160175,0
-2.1508122145845183,-2.921691789099288,0
-4.096062848858791,-2.244778794832836,0
-3.894619803560653,-4.381685272828658,0
-1.9373938500021175,-2.7165179099078802,0
-2.176358828938236,-2.7149213206841774,0
-2.233627402633137,-3.582294992684504,0
-3.925054919789049,-2.3903633296124234,0
-3.7185914491491943,-3.616752070767728,0
-3.4074406575301763,-2.9843661648921778,0
-3.316621779673527,-4.22979382313358,0
-3.5756698001216747,-4.988672235904453,0
-2.440775989532951,-4.432923928724254,0
-3.9877904880720956,-2.953342134688319,0
-3.6614852534297633,-1.6198857897584817,0
-4.156366374128776,-2.761142441073925,0
-3.0351356207617792,-4.044774586009925,0
-2.531967126404767,-3.1534357031614566,0
-2.3096895452376827,-2.2634354927934575,0
-1.065142946414836,-1.8045730604927304,0
-3.330206274279046,-3.214107245383106,0
-2.0164345565945867,-2.4139143019656615,0
-2.4274489572420412,-4.446249452683275,0
-3.0217579471140543,-3.660114912991958,0
-2.7496278271859786,-3.087788377303898,0
-2.1859112359273722,-2.7162714028524366,0
-2.29668688964618,-3.4171779225222476,0
-3.844738411731348,-3.3667595952615326,0
-3.0152235209597444,-2.6608763782047253,0
-0.9792126416326137,-3.0377959454594863,0
-3.855023201541168,-3.309455507775965,0
-3.4146528453615743,-2.5693498778943025,0
-4.378130745530763,-2.9434167522303443,0
-2.8600162968745075,-2.7923309679879376,0
-3.5342557337038016,-3.2128036644056177,0
-4.273718798634032,-3.4412387175400534,0
-3.485550065095701,-2.6278735258070083,0
-4.034121004777925,-2.301275176273064,0
-1.6632923868777962,-4.8514508913347445,0
-2.618742600790954,-2.394555047662625,0
-3.570141008204022,-3.355330712953547,0
-3.118852001749547,-3.2663522597686825,0
-3.2763896018873613,-4.499063376600888,0
-1.9693233154104963,-2.034359775373222,0
-3.727495109619743,-4.3116097923303425,0
-2.533945406225641,-3.515000416451445,0
-2.873033230877443,-3.2856160191535366,0
-2.3814689374127034,-2.378597474990162,0
-3.6489940250160866,-4.237318336754532,0
-4.415823144254325,-2.4540600865008697,0
-4.0633480464340135,-3.453310328128193,0
-3.533359490365104,-3.0470176191408305,0
-4.731861307733154,-2.83115128994879,0
-2.5314176231619014,-2.9209128810622933,0
-3.2780650452729816,-2.9128826428812875,0
-2.643082097990317,-5.479882350917403,0
-1.25057884828917,-2.6510899251604143,0
-3.5835319757286594,-3.349679329180982,0
-2.5583839290062595,-3.103846520054534,0
-4.816299404324961,-1.1534614491750053,0
-3.098870569539725,-2.0875297871252703,0
-3.6189882013857124,-1.6258225870542058,0
-2.7438864186835246,-2.4554335193725048,0
-3.9349030321660274,-1.9167187206563225,0
-2.3830078767944314,-1.8355933337763468,0
-3.5617785916722093,-3.4302437343596663,0
-0.9393142597927495,-3.9481069747322985,0
-3.12159710889499,-1.9831334520752042,0
-2.912592131636244,-2.478590377735197,0
-3.3572780731912366,-2.669011951719564,0
-4.168593141963583,-1.5169228339183227,0
-3.105689134961534,-3.6083698803802706,0
-2.403968851808328,-3.4120803052720223,0
-4.193397056644606,-4.20454075578092,0
-2.379470427848209,-3.1427268220393643,0
-3.1195863104465498,-2.036036635003093,0
-4.007863642872502,-3.653538050021016,0
-3.344246966598592,-2.915609373000752,0
-3.037719292718222,-3.2565997056231573,0
-3.055120329717841,-3.0959767568525853,0
-3.6436337318835923,-3.72716303505505,0
-2.7544651052774487,-3.796858675103147,0
-4.035170013467055,-3.2793226809453944,0
-3.14102166638074,-0.9815251414480564,0
-3.630303088230957,-2.1563219593849907,0
-2.331694437089445,-4.063424696536399,0
-2.3083815114894715,-4.058895035487291,0
-5.378435955216385,-2.457691330978834,0
-4.570516282247403,-2.5966719560018765,0
-3.6117979458764293,-1.5156526430422188,0
-2.0442961394127748,-3.4055205909780355,0
-3.615220662296477,-4.085903841305947,0
-3.3943731914497515,-3.250757578039271,0
-3.3261918224860585,-2.8598398109098824,0
-2.4825546418532953,-2.6872595462109947,0
-3.6834711033792935,-4.285999789155975,0
-1.7795256120717828,-3.616662097474183,0
-3.583429132297102,-3.4661658925806607,0
-4.6484915205640895,-3.427512945804915,0
-3.429017202369907,-2.445134669799124,0
-2.375280934090116,-2.996627214266996,0
-2.1665294763031047,-2.6959260745003055,0
-3.0140265070296204,-2.856061470476259,0
-3.1705256687183314,-3.353164141704621,0
-3.2394681553405427,-4.008924006622793,0
-2.749165313274719,-3.888276761639438,0
-2.247222112616909,-3.2231225371241847,0
-2.955730342594117,-2.55829895937857,0
-2.424602050084152,-4.404808283502732,0
