square_footage,bedrooms,age_years,distance_to_city,neighborhood,house_style,condition,price
1811.2583208878787,1,16.793292857491753,13.944690748864982,Waterfront,Victorian,Good,541117.540235374
3366.9286273067737,1,41.25536657113299,26.062269152550897,Rural,Victorian,Good,504465.96965220047
2776.383642890794,1,18.152960609754526,17.186067238222023,Waterfront,Colonial,Excellent,686803.1358887991
2416.377907331999,5,1.7114055410264561,16.657269345564163,Rural,Colonial,Good,476844.2655782208
1221.2503291945786,4,41.53272532826249,1.991445212235587,Rural,Victorian,Poor,201633.43758635
1221.1852049077472,5,17.25960724406378,29.614096430357687,Rural,Ranch,Good,309216.513114328
956.8257528541385,4,38.69172616006701,4.5661534473591745,Suburbs,Victorian,Poor,250175.20867206546
3138.675593592325,5,18.137894733297273,7.702796460401752,Waterfront,Modern,Good,848322.6062454487
2423.0105317066636,5,43.05340099873608,2.499208280004282,Rural,Modern,Excellent,529228.9616668838
2711.7959600493227,3,10.975526254047935,19.560086038270498,Downtown,Colonial,Excellent,583432.3216314291
855.5781345986666,5,48.727363259943495,7.51633413220772,Suburbs,Ranch,Good,232574.7116895636
3418.7566008373847,2,38.98793873940154,6.2203026867089815,Waterfront,Ranch,Poor,621454.9393405074
3047.5951301611385,3,5.711896296019842,3.568111942474,Rural,Modern,Good,671172.0974115627
1373.3155988313456,5,28.288830998328024,3.9959597565964544,Downtown,Victorian,Good,419898.01685046306
1290.9274114591717,1,49.26836561208673,17.955450312835072,Waterfront,Colonial,Good,291085.9338141784
1295.1921766042713,2,23.55327263469072,20.958028110131266,Waterfront,Victorian,Excellent,458558.65925852244
1621.4540559907518,2,9.105356941079162,12.523990665467629,Suburbs,Victorian,Good,368735.8372452951
2216.842365407042,2,24.23891835751731,14.917015366170123,Waterfront,Victorian,Excellent,555313.5540532497
1966.2515503337127,3,25.62288279409608,20.893064343506538,Suburbs,Ranch,Fair,350010.4909471834
1586.3186785347132,5,37.084347211433276,1.5040139153789096,Rural,Modern,Good,351790.46432089736
